shelter,number,lat,lon
"va606 - trent's campground",14,None,None
"rough camp nr. ny 403",2,None,None
"polywog stream",98,None,None
"trouville",1,None,None
"stamp ridge",2,None,None
"leeman brook shelter",10,None,None
"sidetrack caf",3,None,None
"damascus, again",1,None,None
"tyringham main rd",8,None,None
"vt 11&30",16,None,None
"dalaware water gap, pa.",34,None,None
"campsite at elk river",2,None,None
"lehigh gap - slatington-fine lodging",4,None,None
"seth-warner shelter",2,None,None
"dismal creeek falls",2,None,None
"campsite near elk river",12,None,None
"tray mountion shelter",4,None,None
"19e, tn",11,None,None
"bear fence mountain shelter",4,None,None
"street gap",2,None,None
"near va 601",12,None,None
"rainbow steam lean-to - me",8,None,None
"your the man, don",1,None,None
"american consulate",1,None,None
"hermit lake shelter (2 of 2)",0,44.2613,-71.28588
"mashiapong shelter",12,None,None
"fry notch leanto",51,None,None
"noname stream",2,None,None
"manassas shelter",24,None,None
"hurricane cmpgnd side trail",4,None,None
"more trails...geee",2,None,None
"dahlgren backpack campground",190,None,None
"woodstock stage rd at barnard brook",2,None,None
"long branch",10,35.07001,-83.498087
"spviey gap",4,None,None
"baldpate lean to",20,None,None
"bland, big walker motel",27,None,None
"mill rd",4,None,None
"dick creek gap",9,None,None
"rhododendren ticket - past dragon's tooth",5,None,None
"route 2, wlliamstown, ma",4,None,None
"fairwell from co-workers",1,None,None
"beaver book shelter",8,None,None
"ten mile river camping area",14,None,None
"2 miles south of crawford notch",102,None,None
"mitzpauh spring hut",8,None,None
"somewhere south of lewis shelter",2,None,None
"north of port clinton",1,None,None
"muskrat shelter",82,None,None
"campsite on iron mtn",6,None,None
"thundering brook rd.",12,None,None
"side trail to chairback pond",2,None,None
"econolodge, daleville",2,None,None
"augusta, me (econolodge)",90,None,None
"campsite above unicoi",4,None,None
"elizabeth town",18,None,None
"forest road 86 campsite",8,None,None
"stealth camp just south of gov. clement shelter",8,None,None
"rt 52, ny",34,None,None
"day seven - leaving georgia",138,None,None
"farm corridor",6,None,None
"molly ridge shelter",5,None,None
"black rock shelter",24,None,None
"campsite on the ridge",2,None,None
"sassafrass gap shelter",141,None,None
"southfields, n.y.",8,None,None
"u.s.hwy 21 / 52 near bland,va.",1,None,None
"davis farm campsite (condo!)",6,None,None
"camping .6 mi past turk mt trail",4,None,None
"franklin cliffs campsite",10,None,None
"the cabin -- andover",1,None,None
"hotel california",5,None,None
"still somewhere",8,None,None
"unnamed woods rd.",6,None,None
"beauty spot gap",80,None,None
"va638",2,None,None
"u.s. 7 south of falls village (conn. 112 jct)",4,None,None
"painter branch camping area",40,None,None
"rain, rain go away",5,None,None
"rainbow springs campround",2,None,None
"oblivion",2,None,None
"tent beyond beaver pond outlet",6,None,None
"abindon shelter",1,None,None
"john's spring",56,37.385334,-80.074124
"us 4",360,None,None
"nolichucky river",386,None,None
"beaver brook",269,44.03308,-71.811842
"stratton new hostel not sure of the name",4,None,None
"crawford notch gen.store & campground",4,None,None
"coddy gap",6,None,None
"blackhorse gap",18,None,None
"rt 52 (ny)",2,None,None
"kinsman mountain, nh",2,None,None
"leroy a,. smith shelter",12,None,None
"avery col campsite",26,None,None
"us522 (ride to dc)",8,None,None
"perham stream tenting near road",24,None,None
"w boro",5,None,None
"tri-knob shelter",2,None,None
"berea, ky",3,None,None
"camping behind ymca, waynesboro",2,None,None
"the old oak tree",4,None,None
"port clinton house",2,None,None
"rock creek, mt",2,None,None
"uncle johnny's nolinchucky hostel 1,700",16,None,None
"route 17 outside oquossoc",12,None,None
"washington monuyment state park, md",2,None,None
"off trail with kc",2,None,None
"woodstock, ct",2,None,None
"campsite at mile 159.0",2,None,None
"flight and after",1,None,None
"wind gap (camped)",2,None,None
"hanover/dartmouth college",2,None,None
"hemlock overlook (brot)",1,None,None
"perham stream (tarping)",2,None,None
"carabassett river",103,None,None
"the next stop",2,None,None
"at ki rd at gulf haggas (camp pine)",176,None,None
"sinking creek valley, va 42",3,None,None
"into the white mountains",33,None,None
"tbd",19,None,None
"zealand falls area",8,None,None
"chesire via dalton",10,None,None
"south of bemis mtn",82,None,None
"riga lean to",55,None,None
"va 683, us11, i-81",2,None,None
"my back yard",1,None,None
"rainbow spring c/s,me",4,None,None
"lonesome lake hut",639,44.13842,-71.70312
"andover (s. arm rd.)",7,None,None
"northern outdoors center",26,None,None
"u.s. 19, nantahala river; wesser nc",2,None,None
"sabbath day pond, me",56,None,None
"east mountain retreat center, ma",24,None,None
"humpback rock picnic area",7,None,None
"stealth camp, woods road above orbeton stream",4,None,None
"wasay bald",2,None,None
"galehead falls hut",11,None,None
"dahlgren’s backpacking site",2,None,None
"rocks and more rocks.",1,None,None
"sf radio tower",1,None,None
"chesire,ma. (pittsfield",56,None,None
"hog pen gap",80,None,None
"horse shoe canyon lean to",2,None,None
"tyringham fire station",4,None,None
"the countdown....st. patricks day",4,None,None
"va 608 campsite",4,None,None
"by a spring near buzzard rock",11,None,None
"mt momma's hostel 235.1 miles",2,None,None
"fontana 2:30pm",2,None,None
"smokey mountain",4,None,None
"sassafrass gap campsite",12,None,None
"fatman squeeze",2,None,None
"2 miles beyond nimblewill's parkbench, nb",2,None,None
"sabbath pond lean-to",14,None,None
"danville, vt",4,None,None
"hanover inn",6,None,None
"bear's den rocks hostel",21,None,None
"new mexico",6,None,None
"crampton gap",371,39.412562,-77.637335
"wesser. nc",2,None,None
"bulls bridge, ct",2,None,None
"want to get to georgia",21,None,None
"delaward water gap (end of pa !!!!!!)",1,None,None
"route 621",8,None,None
"three ridges, chimney rock and bee mountain",34,None,None
"2 miles south of buzzard rock",12,None,None
"mountain mama's",62,None,None
"elm st.",3,None,None
"the holy land",2,None,None
"tba",20,None,None
"commercial campground",2,None,None
"emergency base camp",3,None,None
"backpacker magazine",2,None,None
"that place above, with too many consonants",1,None,None
"port clinton hotel",217,None,None
"streamside campsite",10,None,None
"chatfield memorial",6,36.849816,-81.363234
"cloudland road vt",2,None,None
"palmerton, pa jailhouse",36,None,None
"trailside campsite",30,None,None
"new york city, new york",6,None,None
"the real truth about pennsylvania",6,None,None
"devils racecourse boulder field",2,None,None
"fahenestock campground",4,None,None
"minverva hinchey shelter",12,None,None
"overmtn shelter",3,None,None
"hawks mt. shelter",4,None,None
"montebello camp ground",10,None,None
"grayson highland state park, campsite",6,None,None
"mosbey's camp",6,None,None
"iron mountian gap",2,None,None
"white rock cliff, black stack cliff, big butt mtn",2,None,None
"iron masters hostel",15,None,None
"us220 - howard johnson motel",1,None,None
"19e rd",2,None,None
"wilson stream lean-to",1,None,None
"bear mtn ny (my house)",8,None,None
"zealand mt.,nh.",56,None,None
"tent just south of buzzard rock",2,None,None
"manchester center us11",2,None,None
"dick's creek/hiawassee",9,None,None
"ct4, cornwall bridge",9,None,None
"i 70 greenbriar campground",12,None,None
"tesnatee mountain",2,None,None
"injured",2,None,None
"pineswamp brook, conn.",4,None,None
"mt. cammerer fire lookout",8,None,None
"not moving",3,None,None
"greenville, nc",8,None,None
"nolichuky hostel",2,None,None
"rice field shelter",659,37.37485,-80.75835
"going turtle's pace",4,None,None
"campsite near sheldon graves",4,None,None
"footbridge at pa rt.11",8,None,None
"fundy",1,None,None
"some parking lot in jackson",2,None,None
"north of va 632",4,None,None
"red line trolley",4,None,None
"aunt cindy's house",4,None,None
"widows walk",4,None,None
"powell gap",44,None,None
"duncannon,pa",133,None,None
"lyme, nh",12,None,None
"campsite, smarts mountain",18,None,None
"woolum camp on the buffalo river",1,None,None
"west carru pond lean to",6,None,None
"clayton, ga",1,None,None
"rainbow stream lean-tp",14,None,None
"derrick's knob shleter",2,None,None
"campsite next to nice stream",6,None,None
"stealth camp between the horn and saddleback jr.",8,None,None
"campsite along a stream",2,None,None
"hiwassee, ga mile: 67.8",3,None,None
"standing bear shelter",4,None,None
"pa443, green point, pa (tenting)",18,None,None
"needing a nap",3,None,None
"speck pond campsite (3440')",236,None,None
"tubling run shelter",30,None,None
"clingman all the way to pecks",6,None,None
"daicy pond campground,me",7,None,None
"black horse gap",89,None,None
"hilton garden hotel",8,None,None
"valley way c/s,nh.",28,None,None
"sandy hook, md",35,None,None
"campsite below max patch",2,None,None
"route 441 parking lot",1,None,None
"cosbyknob shelter",2,None,None
"somewhere in n.y. state",2,None,None
"tom flyod wayside",8,None,None
"woody gap, hikers hostel",1,None,None
"va. 501",2,None,None
"rutland, vermont",12,None,None
"eckart shelter",2,None,None
"lac beaulieu",6,None,None
"phillips spring",16,None,None
"burkittsville md",1,None,None
"mt. mist,nh.",56,None,None
"katadhin stream campground",44,None,None
"mid-night musings...",4,None,None
"spring short of big meadows",16,None,None
"rosewood inn, south pomfret, vermont",6,None,None
"damascus,ga",2,None,None
"pearisburg , va",1,None,None
"woodshole hostel",203,None,None
"sawyer notch stealth",4,None,None
"my parent's house",7,None,None
"high rocks",13,None,None
"fort montgomery ny",56,None,None
"max's patch",8,None,None
"firewarden's cabin - smarts mountain",4,None,None
"burlington, vt",62,None,None
"villager motel",2,None,None
"north carter mtn.",42,None,None
"n of west mt shelter campsite",28,None,None
"us rt. 58 summit cut",1,None,None
"just us creek",2,None,None
"fernside road",8,None,None
"miss janete's place",1,None,None
"graymoor manor",2,None,None
"long pond stream lean-to",1265,45.4211,-69.4096
"the teepee",4,None,None
"over mountain barn",10,None,None
"duncan ridge",2,None,None
"the gathering - hanover, me.",10,None,None
"lost mountain shelter",354,36.64419,-81.65592
"dahlgren campgound",3,None,None
"between little gap & delps trail",10,None,None
"buchannon, virginia",2,None,None
"somewhere in time",4,None,None
"the relax inn (atkins,va)",2,None,None
"atkins, the relax inn",2,None,None
"man down",2,None,None
"piazza rock lean to",56,None,None
"summit of mount washington and beyond",23,None,None
"ten miles riveer lean-to",50,None,None
"horns pond lean-to's",96,None,None
"pleasant pond shelter",54,None,None
"campsite 1 mile past key gap",2,None,None
"amc highland center at crawford notch",12,None,None
"springer!",3,None,None
"raush shelter",4,None,None
"curley gap shelter",2,None,None
"yellow springs, oh",1,None,None
"still atlanta",41,None,None
"old rag",2,None,None
"thorton gap",49,None,None
"manchester center/vt",6,None,None
"hilltop inn, harpers ferry",4,None,None
"dalton, ma tent",3,None,None
"grafton notch (the cabin)",10,None,None
"mount rogers shelter",1,None,None
"bearfence mtn. hut, va",26,None,None
"a couple of rory calhouns",3,None,None
"boblets gap shelter",83,None,None
"lick creek in va.",18,None,None
"n. conway, nh",15,None,None
"dutch notch and falls",12,None,None
"dunraven pass",3,None,None
"johns spring shelter",89,37.38537,-80.07403
"hurrican shelter",1,None,None
"sugarloaf mtn. summit house",80,None,None
"nictau (bill miller's)",7,None,None
"braemar castle hostel",56,None,None
"stealth site in grayson highlands",2,None,None
"baggs creek campground",2,None,None
"cooper lake",4,None,None
"the ferrusi's",4,None,None
"john's house",14,None,None
"tom lenord lean-to",3,None,None
"clarence fahnestock shelter",4,None,None
"dahlgreen campground",2,None,None
"lemontree inn 9 pm",2,None,None
"abol bridge campgound",2,None,None
"hemlock lean-to",69,None,None
"dan spring",16,None,None
"5 minutes north of trail boss trail,va",16,None,None
"lake tiorati road",2,None,None
"tent, just past three valley trail",4,None,None
"maria's house",12,None,None
"trail ready",1,None,None
"don and jean-marie's house, huddleston, va",32,None,None
"oven bake knob shelter",16,None,None
"last call for resupply",80,None,None
"mt. algo shelter",96,None,None
"sucker brook shelter",24,None,None
"cushy cushion camp",2,None,None
"the ride",1,None,None
"winding stair gap",474,None,None
"mount wilcox north lean-to",0,42.2211,-73.250659
"us20 (windsor, ct)",10,None,None
"palisades parkway",2,None,None
"? dam",10,None,None
"the priest summit",2,None,None
"almost to hanover (1.5 miles away)",2,None,None
"montdale overlook",6,None,None
"after the mahoosic notch",2,None,None
"seg 24: dartmouth college, nh",2,None,None
"day 53: 1.9 miles to damascus ( mike's place )",6,None,None
"mohican outdoors center",10,None,None
"spruce peak shelter",230,43.17858,-72.9952
"steocah gap",1,None,None
"chestnut ridge shelter",48,None,None
"campsite 5 miles",4,None,None
"peter's mnt shelter",1,None,None
"pinnacles picnic ground",12,None,None
"the widow's walk b&b stratton,me",24,None,None
"trail days - a little problem",6,None,None
"me 17/ the cabin",8,None,None
"kings mtn. nc",28,None,None
"avery col tentsite",8,None,None
"north end-mahoosuc notch",4,None,None
"ymca camp ken-etwa-pec",2,None,None
"near tanner's ridge road",4,None,None
"n of barren mt campsite",26,None,None
"school house rd (nc)",3,None,None
"howard johnson (daleville)",24,None,None
"heading back to the trail",4,None,None
"loft mountain campground",390,None,None
"comfort inn",212,None,None
"apple tree b&b-damascus",4,None,None
"country road 519 (secret shelter)",14,None,None
"happy b-day first class!!!!!!",1,None,None
"gooch mtn. shelter",127,None,None
"elevated campsite",6,None,None
"woodstock, vt",147,None,None
"amicalola falls visitor's center",1,None,None
"squaw cap mountain",4,None,None
"route 601",9,None,None
"maxon dixon line",1,None,None
"eagle's nest shelter, pa",69,None,None
"bartram trail (after wayah gap)",8,None,None
"tentsite at porters gap, al",2,None,None
"the perch campsite, nh",8,None,None
"john creek valley",3,None,None
"rattlesnake run",6,None,None
"walasi yi - hogpen gap",1,None,None
"campsite near picnic area",4,None,None
"calf mtn. shelter",81,None,None
"half gallon challenge",4,None,None
"ymca summer camp shelters",2,None,None
"shamrock village inn-dalton, ma",4,None,None
"dotty & chuck & barb's",4,None,None
"bay city, michigan",7,None,None
"emergency room",2,None,None
"near dalton",32,None,None
"campsite near falls creek",8,None,None
"sugarloaf mountail",4,None,None
"hikers email your updates",6,None,None
"...in memory",2,None,None
"forest rd. 10",2,None,None
"there's something happening here",6,None,None
"a psycho ward",4,None,None
"wallace gap @ rainbow springs",1,None,None
"almost abol bridge",2,None,None
"arden / new york 17",4,None,None
"harper's ferry--koa",2,None,None
